"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.873513042E0;4.542409480E-3;5.900659204E-2;-1.200608790E-2;6.038673310E-2
1.883553042E0;1.428708673E-2;7.097584248E-2;-4.016744792E-2;8.279562147E-2
1.893563042E0;-1.690196157E-2;3.504470229E-2;-3.353670537E-2;5.136650729E-2
1.903573042E0;-4.593309492E-2;4.432072520E-2;-2.217790425E-2;6.757244504E-2
1.913613042E0;-4.812638551E-2;4.671282113E-2;-4.396287560E-2;8.019333558E-2
1.923623042E0;-1.735921383E-2;3.487981081E-2;-3.169951022E-2;5.022750695E-2
1.933633042E0;-1.069221854E-2;6.840248287E-2;-2.412444234E-2;7.331583675E-2
1.943642042E0;-1.320067406E-2;1.106234729E-2;-9.521605968E-3;1.967979429E-2
1.953683042E0;2.692233503E-2;2.078802109E-2;2.221181810E-2;4.062411608E-2
1.963692042E0;1.886516422E-2;6.853287578E-2;4.620235920E-2;8.477798935E-2
1.973702042E0;1.191604078E-2;9.488042951E-2;2.222702086E-2;9.817498860E-2
1.983742042E0;1.473001331E-2;1.308104002E-1;-8.832219243E-3;1.319330974E-1
1.993752042E0;2.692642808E-3;1.426369786E-1;-1.919640899E-3;1.426753063E-1
2.003762042E0;-3.764729798E-3;8.769887924E-2;-2.806195736E-2;9.215606362E-2
2.013802042E0;-1.520597667E-2;-2.247318864E-2;-1.847837090E-2;3.282858701E-2
2.023812042E0;-2.079620719E-2;-1.350396913E-1;8.164701104E-2;1.591679455E-1
2.033822042E0;-1.257385254E-2;-2.329407924E-1;4.074573755E-2;2.368115911E-1
2.043852875E0;3.074553698E-2;-2.661746120E-1;2.684573650E-2;2.692859181E-1
2.053892875E0;1.632776499E-2;-2.351908010E-1;2.164288402E-2;2.367482275E-1
2.063902875E0;9.649075270E-3;-1.658825845E-1;-4.780274212E-2;1.729023963E-1
2.073911875E0;7.230082154E-4;-5.586079001E-2;3.082827508E-2;6.380699920E-2
2.083952875E0;7.075715661E-3;9.712809920E-2;3.552417397E-2;1.036624346E-1
2.093961875E0;1.878271848E-2;2.216784704E-1;2.353562772E-2;2.237142385E-1
2.103971875E0;1.400992870E-2;3.149456531E-1;3.810630441E-3;3.152801348E-1
2.114011875E0;-1.037529945E-2;3.077711195E-1;-1.137704444E-1;3.282901504E-1
2.124021875E0;-4.823631316E-2;2.573254359E-1;-1.143557507E-1;2.856927713E-1
2.134031875E0;-2.964859933E-2;2.287354749E-1;-6.870595336E-2;2.406646317E-1
2.144041875E0;-1.285276473E-2;2.335266834E-1;-6.331131220E-2;2.422978079E-1
2.154081875E0;-1.287059873E-2;2.335266834E-1;-6.333002329E-2;2.423036443E-1
2.164091875E0;-5.742521256E-2;1.302385426E-1;7.895963073E-2;1.627708705E-1
2.174101875E0;-7.163511604E-2;1.182599366E-1;6.162848353E-2;1.513772520E-1
2.184141875E0;-7.773814738E-2;4.176549196E-2;8.560323715E-3;8.866146299E-2
2.194151875E0;-5.692732215E-2;6.145423651E-3;-7.921339989E-2;9.774072314E-2
2.204160875E0;-4.742559671E-2;-2.258311629E-2;-3.314786553E-2;6.211252172E-2
2.214201875E0;-1.588308424E-2;-9.413140118E-2;-2.038105488E-2;9.761342352E-2
2.224210875E0;2.666388810E-2;-1.131412840E-1;2.349703610E-2;1.185918369E-1
2.234220875E0;2.931589276E-2;-1.275143248E-1;1.396198153E-2;1.315836674E-1
2.244261875E0;5.832042128E-2;-1.439812535E-1;-5.002877712E-3;1.554249069E-1
2.254270875E0;4.867017657E-2;-1.321575987E-1;-1.006305814E-2;1.411937751E-1
2.264280875E0;2.147273004E-2;-7.482447982E-2;2.546170056E-2;8.190286387E-2
2.274290875E0;2.187414140E-2;-3.171646714E-2;-2.428582549E-2;4.554353598E-2
